,,,
,,,
Store,Store Name,Store Type,LFL Flag
2366,BNG - COMMERCIAL STREET,EBO STORES,LFL
2367,NOIDA - GMI,EBO STORES,LFL
2398,DEL - SELECTCITY,EBO STORES,LFL
2413,BNG - CHURCH STREET,EBO STORES,LFL
2431,ASPIRE APPARELS-CALCUTTA,EBO STORES,LFL
2484,ULTIMATE FASHION PATNA,EBO STORES,LFL
3001,FORUM MALL - BANGALORE,EBO STORES,LFL
3002,R M MALL- MELANGE,EBO STORES,LFL
3005,MELANGE MARKET CITY,EBO STORES,LFL
2349,CAL - FOCUS MALL,EBO STORES,N LFL
1361,BOSSINI-B.M. HABITAT MYSORE,EBO STORES,N LFL
1635,VASCON - PUNE,LS STORES,Closed
1281,CITY CENTER-CHENNAI,LS STORES,LFL
1283,BROOK FIELD - CBT,LS STORES,LFL
1285,EXPRESS AVENUE - CHENNAI,LS STORES,LFL
1286,FORUM VIJAY-CHENNAI,LS STORES,LFL
1289,PHOENIX MARKET CITY VELACHERY,LS STORES,LFL
1311,MY HOME - HYDERABAD,LS STORES,LFL
1315,INORBIT - CYBERABAD,LS STORES,LFL
1317,LS-VIJAYAWADA,LS STORES,LFL
1341,ADARSH - BANGALORE,LS STORES,LFL
1342,OASIS - BANGALORE,LS STORES,LFL
1346,GOPALAN SIGNATURE MALL-BANGALORE,LS STORES,LFL
1347,MANTRI - BANGALORE,LS STORES,LFL
1356,CITY CENTER - MANGALORE,LS STORES,LFL
1433,METROPOLIS MALL GURGAON,LS STORES,LFL
1452,AMBIENCE - VASANT KUNJ,LS STORES,LFL
1455,PACIFIC - KHAYALA,LS STORES,LFL
1456,CITI CENTRE- ROHINI,LS STORES,LFL
1458,MOMENTS-DELHI,LS STORES,LFL
1484,Z SQUARE - KANPUR,LS STORES,LFL
1485,MAHAGUN - GHAZIABAD,LS STORES,LFL
1487,PACIFIC DEHRADUN,LS STORES,LFL
1492,WAVE-JAMMU,LS STORES,LFL
1501,MGF - JAIPUR,LS STORES,LFL
1511,VIVA COLLAGE - JALANDHAR,LS STORES,LFL
1512,NORTH COUNTRY-MOHALI,LS STORES,LFL
1521,MBD NEOPOLIS - LUDHIANA,LS STORES,LFL
1522,TRILIUM-AMRITSAR,LS STORES,LFL
1531,ELANTE-CHANDIGARH,LS STORES,LFL
1631,RUNWAL - MULUND,LS STORES,LFL
1632,PHOENIX - MUMBAI,LS STORES,LFL
1637,EMPRESS - NAGPUR,LS STORES,LFL
1638,KINGSTON - GOREGAON,LS STORES,LFL
1641,RUNWAL - GHATKOPAR,LS STORES,LFL
1642,PUNE INORBIT MALL,LS STORES,N LFL/Closed
1643,LS-SPORTS CLUB PUNE,LS STORES,LFL
1645,VIVA CITY-THANE,LS STORES,LFL
1646,LS MUM MARKET CITY-KURLA,LS STORES,LFL
1673,AHMEDABAD-ALPHA ONE MALL,LS STORES,LFL
1674,SURAT S/R,LS STORES,LFL
1694,LS BHOPAL STORE,LS STORES,LFL
1794,QUEST KOLKATTA,LS STORES,LFL
1295,RAMS MARIS-TRICHY,LS STORES,N LFL
1354,PHOENIX MARKET CITY-LS-BLR,LS STORES,N LFL
1373,LS HILITE MALL CALICUT,LS STORES,N LFL
1374,SOBHA CITY-THRISSUR,LS STORES,N LFL
1375,GRAND MALL-KOCHI,LS STORES,N LFL
1481,UNITECH - NOIDA,LS STORES,N LFL
